id,title,title_doiorg,title_openalex,authors,authors_doiorg,authors_openalex,authors_count_doiorg,authors_count_openalex,venue,year,abstract_doiorg,abstract_openalex,abstract_semantic,tldr,primary_topic,keywords,concepts,reference_count,citation_count,is_open_access
2491,Stopping Criteria for Value Iteration on Stochastic Games with Quantitative Objectives.,Stopping Criteria for Value Iteration on Stochastic Games with Quantitative Objectives,Stopping Criteria for Value Iteration on Stochastic Games with Quantitative Objectives,"Jan Křetínský, Tobias Meggendorfer, Maximilian Weininger","Jan Křetínský, Tobias Meggendorfer, Maximilian Weininger","Jan Křetínský, Tobias Meggendorfer, Maximilian Weininger",3,3,lics,2023,,"A classic solution technique for Markov decision processes (MDP) and stochastic games (SG) is value iteration (VI). Due to its good practical performance, this approximative approach is typically preferred over exact techniques, even though no practical bounds on the imprecision of the result could be given until recently. As a consequence, even the most used model checkers could return arbitrarily wrong results. Over the past decade, different works derived stopping criteria, indicating when the precision reaches the desired level, for various settings, in particular MDP with reachability, total reward, and mean payoff, and SG with reachability.In this paper, we provide the first stopping criteria for VI on SG with total reward and mean payoff, yielding the first anytime algorithms in these settings. To this end, we provide the solution in two flavours: First through a reduction to the MDP case and second directly on SG. The former is simpler and automatically utilizes any advances on MDP. The latter allows for more local computations, heading towards better practical efficiency.Our solution unifies the previously mentioned approaches for MDP and SG and their underlying ideas. To achieve this, we isolate objective-specific subroutines as well as identify objective-independent concepts. These structural concepts, while surprisingly simple, form the very essence of the unified solution.","A classic solution technique for Markov decision processes (MDP) and stochastic games (SG) is value iteration (VI). Due to its good practical performance, this approximative approach is typically preferred over exact techniques, even though no practical bounds on the imprecision of the result could be given until recently. As a consequence, even the most used model checkers could return arbitrarily wrong results. Over the past decade, different works derived stopping criteria, indicating when the precision reaches the desired level, for various settings, in particular MDP with reachability, total reward, and mean payoff, and SG with reachability.In this paper, we provide the first stopping criteria for VI on SG with total reward and mean payoff, yielding the first anytime algorithms in these settings. To this end, we provide the solution in two flavours: First through a reduction to the MDP case and second directly on SG. The former is simpler and automatically utilizes any advances on MDP. The latter allows for more local computations, heading towards better practical efficiency.Our solution unifies the previously mentioned approaches for MDP and SG and their underlying ideas. To achieve this, we isolate objective-specific subroutines as well as identify objective-independent concepts. These structural concepts, while surprisingly simple, form the very essence of the unified solution.","This paper provides the first stopping criteria for VI on SG with total reward and mean payoff, yielding the first anytime algorithms in these settings, and unifies the previously mentioned approaches for MDP and SG and their underlying ideas.",Formal Methods in Verification,"Reachability, Markov decision process, Stochastic game, Mathematical optimization, Computer science, Subroutine, Simple (philosophy), Reduction (mathematics), Computation, Heading (navigation), Value (mathematics), Markov process, Mathematics, Algorithm, Mathematical economics, Machine learning","Reachability, Markov decision process, Stochastic game, Mathematical optimization, Computer science, Subroutine, Simple (philosophy), Reduction (mathematics), Computation, Heading (navigation), Value (mathematics), Markov process, Mathematics, Algorithm, Mathematical economics, Machine learning, Philosophy, Geography, Epistemology, Statistics, Geometry, Geodesy, Operating system",51,0,True
2707,A Complete Proof System for 1-Free Regular Expressions Modulo Bisimilarity.,A Complete Proof System for 1-Free Regular Expressions Modulo Bisimilarity,A Complete Proof System for 1-Free Regular Expressions Modulo Bisimilarity,"Clemens Grabmayer, Wan Fokkink","Clemens Grabmayer, Wan Fokkink","Clemens Grabmayer, Wan Fokkink",2,2,lics,2020,,"Robin Milner (1984) gave a sound proof system for bisimilarity of regular expressions interpreted as processes: Basic Process Algebra with unary Kleene star iteration, deadlock 0, successful termination 1, and a fixed-point rule. He asked whether this system is complete. Despite intensive research over the last 35 years, the problem is still open.","Robin Milner (1984) gave a sound proof system for bisimilarity of regular expressions interpreted as processes: Basic Process Algebra with unary Kleene star iteration, deadlock 0, successful termination 1, and a fixed-point rule. He asked whether this system is complete. Despite intensive research over the last 35 years, the problem is still open. This paper gives a partial positive answer to Milner's problem. We prove that the adaptation of Milner's system over the subclass of regular expressions that arises by dropping the constant 1, and by changing to binary Kleene star iteration is complete. The crucial tool we use is a graph structure property that guarantees expressibility of a process graph by a regular expression, and that is preserved when going over from a process graph to its bisimulation collapse.","It is proved that the adaptation of Milner's system over the subclass of regular expressions that arises by dropping the constant 1, and by changing to binary Kleene star iteration is complete.",Formal Methods in Verification,"Modulo, Unary operation, Process calculus, Deadlock, Computer science, Concurrency, Discrete mathematics, Fixed point, Mathematics, Programming language","Modulo, Unary operation, Process calculus, Deadlock, Computer science, Concurrency, Discrete mathematics, Fixed point, Mathematics, Programming language, Mathematical analysis",41,0,True
1248,Closed Predicates in Description Logics: Results on Combined Complexity.,,,"Shqiponja Ahmetaj, Magdalena Ortiz, Mantas Šimkus",,,0,0,kr,2016,,,,"The results show that consistency testing and instance query answering in the presence of closed predicates is NP-complete even for rich dialects of the DL-Lite family, and imply 2EXPTIME-hardness of query Answer in ALCO for the standard open-world setting.",,,,34,0,False
1433,Data-Driven Verification of Procedural Programs with Integer Arrays.,Data-driven Verification of Procedural Programs with Integer Arrays,Data-driven Verification of Procedural Programs with Integer Arrays,"Ahmed Bouajjani, Wael-Amine Boutglay, Peter Habermehl","Ahmed Bouajjani, Wael-Amine Boutglay, Peter Habermehl","Ahmed Bouajjani, Wael-Amine Boutglay, Peter Habermehl",3,3,cav,2025,"We address the problem of verifying automatically procedural programs manipulating parametric-size arrays of integers, encoded as a constrained Horn clauses solving problem. We propose a new algorithmic method for synthesizing loop invariants and procedure pre/post-conditions represented as universally quantified first-order formulas constraining the array elements and program variables. We adopt a data-driven approach that extends the decision tree Horn-ICE framework to handle arrays. We provide a powerful learning technique based on reducing a complex classification problem of vectors of integer arrays to a simpler classification problem of vectors of integers. The obtained classifier is generalized to get universally quantified invariants and procedure pre/post-conditions. We have implemented our method and shown its efficiency and competitiveness w.r.t. state-of-the-art tools on a significant benchmark.","We address the problem of verifying automatically procedural programs manipulating parametric-size arrays of integers, encoded as a constrained Horn clauses solving problem. We propose a new algorithmic method for synthesizing loop invariants and procedure pre/post-conditions represented as universally quantified first-order formulas constraining the array elements and program variables. We adopt a data-driven approach that extends the decision tree Horn-ICE framework to handle arrays. We provide a powerful learning technique based on reducing a complex classification problem of vectors of integer arrays to a simpler classification problem of vectors of integers. The obtained classifier is generalized to get universally quantified invariants and procedure pre/post-conditions. We have implemented our method and shown its efficiency and competitiveness w.r.t. state-of-the-art tools on a significant benchmark.","We address the problem of verifying automatically procedural programs manipulating parametric-size arrays of integers, encoded as a constrained Horn clauses solving problem. We propose a new algorithmic method for synthesizing loop invariants and procedure pre/post-conditions represented as universally quantified first-order formulas constraining the array elements and program variables. We adopt a data-driven approach that extends the decision tree Horn-ICE framework to handle arrays. We provide a powerful learning technique based on reducing a complex classification problem of vectors of integer arrays to a simpler classification problem of vectors of integers. The obtained classifier is generalized to get universally quantified invariants and procedure pre/post-conditions. We have implemented our method and shown its efficiency and competitiveness w.r.t. state-of-the-art tools on a significant benchmark.",A data-driven approach that extends the decision tree Horn-ICE framework to handle arrays and provides a powerful learning technique based on reducing a complex classification problem of vectors of integer arrays to a simpler classification problem of vectors of integers.,Formal Methods in Verification,"Integer (computer science), Integer programming, Decision tree, Classifier (UML), Horn clause, Efficient algorithm","Computer science, Integer (computer science), Theoretical computer science, Integer programming, Algorithm, Decision tree, Classifier (UML), Horn clause, Mathematics, Programming language, Efficient algorithm, Artificial intelligence, Tree (set theory), Program analysis, Decision problem, Search tree",57,0,False
2339,Reachability and Related Problems in Vector Addition Systems with Nested Zero Tests.,Reachability and Related Problems in Vector Addition Systems with Nested Zero Tests,Reachability and Related Problems in Vector Addition Systems with Nested Zero Tests,"Roland Guttenberg, Wojciech Czerwiński, Sławomir Lasota","Roland Guttenberg, Wojciech Czerwiński, Sławomir Lasota","Roland Guttenberg, Wojciech Czerwiński, Sławomir Lasota",3,3,lics,2025,,"Vector addition systems with states (VASS), also known as Petri nets, are a popular model of concurrent systems. Many problems from many areas reduce to the reachability problem for VASS, which consists of deciding whether a target configuration of a VASS is reachable from a given initial configuration. In this paper, we obtain an Ackermannian (primitive-recursive in fixed dimension) upper bound for the reachability problem in VASS with nested zero tests. Furthermore, we provide a uniform approach which also allows to decide most related problems, for example semilinearity and separability, in the same complexity. For some of these problems like semilinearity the complexity was unknown even for plain VASS.","Vector addition systems with states (VASS), also known as Petri nets, are a popular model of concurrent systems. Many problems from many areas reduce to the reachability problem for VASS, which consists of deciding whether a target configuration of a VASS is reachable from a given initial configuration. In this paper, we obtain an Ackermannian (primitive-recursive in fixed dimension) upper bound for the reachability problem in VASS with nested zero tests. Furthermore, we provide a uniform approach which also allows to decide most related problems, for example semilinearity and separability, in the same complexity. For some of these problems like semilinearity the complexity was unknown even for plain VASS.","An Ackermannian (primitive-recursive in fixed dimension) upper bound for the reachability problem in VASS with nested zero tests is obtained and a uniform approach is provided which also allows to decide most related problems, for example semilinearity and separability, in the same complexity.",Machine Learning and Algorithms,"Reachability, Reachability problem, Zero (linguistics), Upper and lower bounds, Petri net, Computational complexity theory","Reachability, Mathematics, Reachability problem, Zero (linguistics), Upper and lower bounds, Petri net, Discrete mathematics, Computational complexity theory, Nested loop join, Hybrid system, Computer science, Combinatorics, Algorithm, Vector space, Time complexity, Class (philosophy)",49,0,False
773,On the Expressive Power of Intermediate and Conditional Effects in Temporal Planning.,On the Expressive Power of Intermediate and Conditional Effects in Temporal Planning,On the Expressive Power of Intermediate and Conditional Effects in Temporal Planning,"Nicola Gigante, Andrea Micheli, Enrico Scala","Nicola Gigante, Andrea Micheli, Enrico Scala","Nicola Gigante, Andrea Micheli, Enrico Scala",3,3,kr,2022,"<jats:p>Automated planning is the task of finding a sequence of actions that reach a desired goal, given a description of their applicability and their effects on the world. In temporal planning, actions have a duration and can overlap in time. In modern temporal planning formalisms, two features have been introduced which are very useful from a modeling perspective, but are not yet thoroughly understood: intermediate conditions and effects (ICE) and conditional effects. The expressive power of such constructs is yet not well comprehended, especially when time is dense, and no minimum separation is required between mutex events. This paper reveals that both ICE and conditional effects do not add expressive power with regards to common temporal planning formalisms. In particular, we show how they can be compiled away using a polynomial-size encoding that makes no assumptions on the time domain. This encoding advances our understanding of these features, and allow their use with simple temporal planners that lack their support. Moreover, it provides a constructive proof that temporal planning with ICE and conditional effects remains PSPACE-complete.</jats:p>","Automated planning is the task of finding a sequence of actions that reach a desired goal, given a description of their applicability and their effects on the world. In temporal planning, actions have a duration and can overlap in time. In modern temporal planning formalisms, two features have been introduced which are very useful from a modeling perspective, but are not yet thoroughly understood: intermediate conditions and effects (ICE) and conditional effects. The expressive power of such constructs is yet not well comprehended, especially when time is dense, and no minimum separation is required between mutex events. This paper reveals that both ICE and conditional effects do not add expressive power with regards to common temporal planning formalisms. In particular, we show how they can be compiled away using a polynomial-size encoding that makes no assumptions on the time domain. This encoding advances our understanding of these features, and allow their use with simple temporal planners that lack their support. Moreover, it provides a constructive proof that temporal planning with ICE and conditional effects remains PSPACE-complete.","Automated planning is the task of finding a sequence of actions that reach a desired goal, given a description of their applicability and their effects on the world. In temporal planning, actions have a duration and can overlap in time. In modern temporal planning formalisms, two features have been introduced which are very useful from a modeling perspective, but are not yet thoroughly understood: intermediate conditions and effects (ICE) and conditional effects. The expressive power of such constructs is yet not well comprehended, especially when time is dense, and no minimum separation is required between mutex events. This paper reveals that both ICE and conditional effects do not add expressive power with regards to common temporal planning formalisms. In particular, we show how they can be compiled away using a polynomial-size encoding that makes no assumptions on the time domain. This encoding advances our understanding of these features, and allow their use with simple temporal planners that lack their support. Moreover, it provides a constructive proof that temporal planning with ICE and conditional effects remains PSPACE-complete.","It is revealed that both ICE and conditional effects do not add expressive power with regards to common temporal planning formalisms, and it is shown how they can be compiled away using a polynomial-size encoding that makes no assumptions on the time domain.",AI-based Problem Solving and Planning,"Rotation formalisms in three dimensions, Computer science, Constructive, Expressive power, Temporal logic, Perspective (graphical), Encoding (memory), Theoretical computer science, Task (project management), Linear temporal logic, Artificial intelligence, Programming language, Mathematics, Process (computing)","Rotation formalisms in three dimensions, Computer science, Constructive, Expressive power, Temporal logic, Perspective (graphical), Encoding (memory), Theoretical computer science, Task (project management), Linear temporal logic, Artificial intelligence, Programming language, Mathematics, Process (computing), Economics, Management, Geometry",26,0,True
1330,State Transition in Multi-agent Epistemic Domains Using Answer Set Programming.,State Transition in Multi-agent Epistemic Domains Using Answer Set Programming,State Transition in Multi-agent Epistemic Domains Using Answer Set Programming,"Yusuf Izmirlioglu, Loc Pham, Tran Cao Son, Enrico Pontelli","Yusuf Izmirlioglu, Loc Pham, Tran Cao Son, Enrico Pontelli","Yusuf İzmirlioğlu, Loc Pham, Tran Cao Son, Enrico Pontelli",4,4,lpnmr,2022,,,,,"Logic, Reasoning, and Knowledge","Observability, Soundness, Ontic, Set function, Function (biology), Action (physics), State (computer science), Transition (genetics), Set (abstract data type), Observable, Computer science, Precondition, Transition system, Mathematics, Theoretical computer science, Epistemology, Algorithm, Programming language, Applied mathematics, Physics, Philosophy","Observability, Soundness, Ontic, Set function, Function (biology), Action (physics), State (computer science), Transition (genetics), Set (abstract data type), Observable, Computer science, Precondition, Transition system, Mathematics, Theoretical computer science, Epistemology, Algorithm, Programming language, Applied mathematics, Physics, Philosophy, Chemistry, Biochemistry, Biology, Gene, Quantum mechanics, Evolutionary biology",0,0,False
1561,The Top-Down Solver Verified: Building Confidence in Static Analyzers.,The Top-Down Solver Verified: Building Confidence in Static Analyzers,The Top-Down Solver Verified: Building Confidence in Static Analyzers,"Yannick Stade, Sarah Tilscher, Helmut Seidl","Yannick Stade, Sarah Tilscher, Helmut Seidl","Yannick Stade, Sarah Tilscher, Helmut Seidl",3,3,cav,2024,"<jats:title>Abstract</jats:title><jats:p>The top-down solver (TD) is a local fixpoint algorithm for arbitrary equation systems. It considers the right-hand sides as black boxes and detects dependencies between unknowns on the fly—features that significantly increase both its usability and practical efficiency. At the same time, the recursive evaluation strategy of the TD, combined with the non-local destabilization mechanism, obfuscates the correctness of the computed solution. To strengthen the confidence in tools relying on the TD as their fixpoint engine, we provide a first machine-checked proof of the partial correctness of the TD. Our proof builds on the observation that the TD can be obtained from a considerably simpler recursive fixpoint algorithm, the plain TD, by applying an optimization that neither affects the termination behavior nor the computed result. Accordingly, we break down the proof into a partial correctness proof of the plain TD, which is only then extended to include the optimization. The backbone of our proof is a mutual induction following the solver’s computation trace. We establish sufficient invariants about the solver state to conclude the correctness of its optimization, i.e., the plain TD terminates if and only if the TD terminates, and they return the identical result. The proof is written using Isabelle/HOL and is available in the archive of formal proofs.</jats:p>","Abstract The top-down solver (TD) is a local fixpoint algorithm for arbitrary equation systems. It considers the right-hand sides as black boxes and detects dependencies between unknowns on the fly—features that significantly increase both its usability and practical efficiency. At the same time, the recursive evaluation strategy of the TD, combined with the non-local destabilization mechanism, obfuscates the correctness of the computed solution. To strengthen the confidence in tools relying on the TD as their fixpoint engine, we provide a first machine-checked proof of the partial correctness of the TD. Our proof builds on the observation that the TD can be obtained from a considerably simpler recursive fixpoint algorithm, the plain TD, by applying an optimization that neither affects the termination behavior nor the computed result. Accordingly, we break down the proof into a partial correctness proof of the plain TD, which is only then extended to include the optimization. The backbone of our proof is a mutual induction following the solver’s computation trace. We establish sufficient invariants about the solver state to conclude the correctness of its optimization, i.e., the plain TD terminates if and only if the TD terminates, and they return the identical result. The proof is written using Isabelle/HOL and is available in the archive of formal proofs.",,,Formal Methods in Verification,"Computer science, Solver, Programming language, Parallel computing, Algorithm, Computational science","Computer science, Solver, Programming language, Parallel computing, Algorithm, Computational science",0,0,False
1904,Validation of Abstract Side-Channel Models for Computer Architectures.,Validation of Abstract Side-Channel Models for Computer Architectures,Validation of Abstract Side-Channel Models for Computer Architectures,"Hamed Nemati, Pablo Buiras, Andreas Lindner, Roberto Guanciale, Swen Jacobs","Hamed Nemati, Pablo Buiras, Andreas Lindner, Roberto Guanciale, Swen Jacobs","Hamed Nemati, Pablo Buiras, Andreas Lindner, Roberto Guanciale, Swen Jacobs",5,5,cav,2020,,"Observational models make tractable the analysis of information flow properties by providing an abstraction of side channels. We introduce a methodology and a tool, Scam-V, to validate observational models for modern computer architectures. We combine symbolic execution, relational analysis, and different program generation techniques to generate experiments and validate the models. An experiment consists of a randomly generated program together with two inputs that are observationally equivalent according to the model under the test. Validation is done by checking indistinguishability of the two inputs on real hardware by executing the program and analyzing the side channel. We have evaluated our framework by validating models that abstract the data-cache side channel of a Raspberry Pi 3 board with a processor implementing the ARMv8-A architecture. Our results show that Scam-V can identify bugs in the implementation of the models and generate test programs which invalidate the models due to hidden microarchitectural behavior.","Observational models make tractable the analysis of information flow properties by providing an abstraction of side channels. We introduce a methodology and a tool, Scam-V, to validate observational models for modern computer architectures. We combine symbolic execution, relational analysis, and different program generation techniques to generate experiments and validate the models. An experiment consists of a randomly generated program together with two inputs that are observationally equivalent according to the model under the test. Validation is done by checking indistinguishability of the two inputs on real hardware by executing the program and analyzing the side channel. We have evaluated our framework by validating models that abstract the data-cache side channel of a Raspberry Pi 3 board with a processor implementing the ARMv8-A architecture. Our results show that Scam-V can identify bugs in the implementation of the models and generate test programs which invalidate the models due to hidden microarchitectural behavior.","This work introduces a methodology and a tool, Scam-V, to validate observational models for modern computer architectures that combine symbolic execution, relational analysis, and different program generation techniques to generate experiments and validate the models.",Security and Verification in Computing,"Computer science, Side channel attack, Abstraction, Cache, Channel (broadcasting), Data flow diagram, Embedded system, Programming language, Computer engineering, Parallel computing, Algorithm, Database, Cryptography","Computer science, Side channel attack, Abstraction, Cache, Channel (broadcasting), Data flow diagram, Embedded system, Programming language, Computer engineering, Parallel computing, Algorithm, Database, Cryptography, Computer network, Philosophy, Epistemology",51,0,True
912,Ordinal Polymatrix Games with Incomplete Information.,Ordinal Polymatrix Games with Incomplete Information,Ordinal Polymatrix Games with Incomplete Information,"Nahla Ben Amor, Hélène Fargier, Régis Sabbadin, Meriem Trabelsi","Nahla Ben Amor, Hélène Fargier, Régis Sabbadin, Meriem Trabelsi","Nahla Ben Amor, Hélène Fargier, Régis Sabbadin, Meriem Trabelsi",4,4,kr,2020,"<jats:p>Possibilistic games with incomplete information (Π-games) constitute a suitable framework for the representation of ordinal games under incomplete knowledge. However, representing a Π-game in standard normal form requires an extensive expression of the utility functions and the possibility distribution, namely, on the product spaces of actions and types. In the present work, we propose a less costly view of Π-games, namely min-based polymatrix Π-games, which allows to concisely specify Π-games with local interactions. This framework allows, for instance, the compact representation of coordination games under uncertainty where the satisfaction of an agent is high if and only if her strategy is coherent with all of her neighbors, the game being possibly only incompletely known to the agents. Then, an important result of this paper is to show that a min-based polymatrix Π-game can be transformed, in polynomial time, into a (complete information) min-based polymatrix game with identical pure Nash equilibria. Finally, we show that the latter family of games can be solved through a MILP formulation. Experiments on variants of the GAMUT problems confirm the feasibility of this approach.
</jats:p>","Possibilistic games with incomplete information (Π-games) constitute a suitable framework for the representation of ordinal games under incomplete knowledge. However, representing a Π-game in standard normal form requires an extensive expression of the utility functions and the possibility distribution, namely, on the product spaces of actions and types. In the present work, we propose a less costly view of Π-games, namely min-based polymatrix Π-games, which allows to concisely specify Π-games with local interactions. This framework allows, for instance, the compact representation of coordination games under uncertainty where the satisfaction of an agent is high if and only if her strategy is coherent with all of her neighbors, the game being possibly only incompletely known to the agents. Then, an important result of this paper is to show that a min-based polymatrix Π-game can be transformed, in polynomial time, into a (complete information) min-based polymatrix game with identical pure Nash equilibria. Finally, we show that the latter family of games can be solved through a MILP formulation. Experiments on variants of the GAMUT problems confirm the feasibility of this approach.","Possibilistic games with incomplete information (Π-games) constitute a suitable framework for the representation of ordinal games under incomplete knowledge. However, representing a Π-game in standard normal form requires an extensive expression of the utility functions and the possibility distribution, namely, on the product spaces of actions and types. In the present work, we propose a less costly view of Π-games, namely min-based polymatrix Π-games, which allows to concisely specify Π-games with local interactions. This framework allows, for instance, the compact representation of coordination games under uncertainty where the satisfaction of an agent is high if and only if her strategy is coherent with all of her neighbors, the game being possibly only incompletely known to the agents. Then, an important result of this paper is to show that a min-based polymatrix Π-game can be transformed, in polynomial time, into a (complete information) min-based polymatrix game with identical pure Nash equilibria. Finally, we show that the latter family of games can be solved through a MILP formulation. Experiments on variants of the GAMUT problems confirm the feasibility of this approach.
","An important result of this paper is to show that a min-based polymatrix Π-game can be transformed, in polynomial time, into a (complete information) min- basedpolymatrix game with identical pure Nash equilibria.",Game Theory and Voting Systems,"Computer science, Representation (politics), Complete information, Nash equilibrium, Combinatorial game theory, Theoretical computer science, Extensive-form game, Game theory, Sequential game, Mathematical optimization, Mathematics, Mathematical economics","Computer science, Representation (politics), Complete information, Nash equilibrium, Combinatorial game theory, Theoretical computer science, Extensive-form game, Game theory, Sequential game, Mathematical optimization, Mathematics, Mathematical economics, Law, Politics, Political science",32,0,True
